item_name_index,name,category
3089,Sword,Melee
3096,Sword_Unique1,Melee
3103,Sword_Unique2,Melee
3110,Sword_Spooky1,Melee
3117,Katana,Melee
3124,Katana_Unique1,Melee
3131,Katana_Unique2,Melee
3138,Spear,Melee
3145,Spear_Unique1,Melee
3152,Spear_Unique2,Melee
3159,Spear_spooky2,Melee
3166,Rapier,Melee
3173,Rapier_Unique1,Melee
3180,Rapier_Unique2,Melee
3187,Claymore,Melee
3194,Claymore_Unique1,Melee
3208,Claymore_Unique3,Melee
3215,Claymore_Winter1,Melee
3222,ObsidianClaymore,Melee
3229,ObsidianClaymore_Unique1,Melee
3236,Sickles,Melee
3243,Sickles_Unique1,Melee
3250,Sickles_Unique2,Melee
3257,Gauntlets,Melee
3264,Gauntlets_Unique1,Melee
3271,Gauntlets_Unique2,Melee
3278,Gauntlets_Unique3,Melee
3285,Battlestaff_Unique1,Melee
3292,Battlestaff_Unique2,Melee
3299,Battlestaff_Unique2,Melee
3306,Glaive,Melee
3313,Glaive_Unique1,Melee
3320,Glaive_Unique2,Melee
3327,Glaive_Spooky2,Melee
3334,DoubleAxe,Melee
3341,DoubleAxe_Unique1,Melee
3348,DoubleAxe_Unique2,Melee
3355,Whip,Melee
3362,Whip_Unique1,Melee
3369,Daggers,Melee
3376,Daggers_Unique1,Melee
3383,Daggers_Unique2,Melee
3390,Daggers_Unique3,Melee
3397,Chainsword,Melee
3404,Chainsword_Unique1,Melee
3411,VoidTouchedBlades,Melee
3418,VoidTouchedBlades_Unique1,Melee
3425,Backstabber,Melee
3432,Backstabber_Unique1,Melee
3439,Cutlass,Melee
3446,Cutlass_Unique1,Melee
3453,Cutlass_Unique2,Melee
3460,Cutlass_Year1,Melee
3467,Boneclub,Melee
3474,Boneclub_Unique1,Melee
3481,Mace,Melee
3488,Mace_Unique1,Melee
3495,Mace_Unique2,Melee
3502,Mace_Unique2,Melee
3509,Pickaxe,Melee
3523,Axe,Melee
3530,Firebrand,Melee
3537,Axe_Unique2,Melee
3544,Hammer,Melee
3551,Hammer_Unique1,Melee
3558,Hammer_Unique2,Melee
3565,SkeletonHammer,Melee
3572,SoulScythe,Melee
3579,SoulScythe_Unique1,Melee
3586,SoulScythe_Unique2,Melee
3593,SoulScythe_Spooky2,Melee
3600,SoulKnife,Melee
3607,SoulKnife_Unique1,Melee
3614,SoulKnife_Unique2,Melee
3621,TempestKnife,Melee
3628,TempestKnife_Unique1,Melee
3635,TempestKnife_Unique2,Melee
3642,CoralBlade,Melee
3649,CoralBlade_Unique1,Melee
3656,Anchor,Melee
3663,Anchor_Unique1,Melee
3670,Bow,Ranged
3677,Bow_Spooky1,Ranged
3684,Bow_Unique1,Ranged
3691,Bow_Unique2,Ranged
3698,Trickbow,Ranged
3705,Trickbow_Unique1,Ranged
3712,Trickbow_Unique2,Ranged
3719,Trickbow_Year1,Ranged
3726,Shortbow,Ranged
3733,Shortbow_Unique1,Ranged
3740,Shortbow_Unique2,Ranged
3747,Shortbow_Unique3,Ranged
3754,Longbow,Ranged
3761,Longbow_Unique1,Ranged
3768,Longbow (Unique),Ranged
3775,Hunting Bow,Ranged
3782,HuntingBow_Unique1,Ranged
3789,HuntingBow_Unique2,Ranged
3796,HuntingBow_Unique3,Ranged
3803,SoulBow,Ranged
3810,SoulBow_Unique1,Ranged
3817,SoulBow_Unique2,Ranged
3824,TwistingVineBow,Ranged
3831,TwistingVineBow_Unique1,Ranged
3838,SoulBow_Winter1,Ranged
3845,Powerbow,Ranged
3852,Powerbow_Unique1,Ranged
3859,Powerbow_Unique2,Ranged
3866,PowerBow_Spooky2,Ranged
3873,CogCrossbow,Ranged
3880,CogCrossbow_Unique1,Ranged
3887,Crossbow,Ranged
3894,Crossbow,Ranged
3901,Crossbow (Unique),Ranged
3915,BatCrossbow,Ranged
3922,HeavyCrossbow,Ranged
3929,HeavyCrossbow_Unique1,Ranged
3936,HeavyCrossbow_Unique2,Ranged
3943,RapidCrossbow,Ranged
3950,RapidCrossbow_Unique1,Ranged
3957,RapidCrossbow_Unique2,Ranged
3964,ScatterCrossbow,Ranged
3971,ScatterCrossbow_Unique1,Ranged
3978,ScatterCrossbow_Unique2,Ranged
3985,BurstCrossbow,Ranged
3992,BurstCrossbow_Unique1,Ranged
3999,BurstCrossbow_Unique2,Ranged
4006,DualCrossbows,Ranged
4013,DualCrossbows_Unique1,Ranged
4020,DualCrossbows_Unique2,Ranged
4027,SoulCrossbow,Ranged
4034,SoulCrossbow_Unique1,Ranged
4041,SoulCrossbow_Unique2,Ranged
4048,ExplodingCrossbow,Ranged
4055,ExplodingCrossbow_Unique1,Ranged
4062,ExplodingCrossbow_Unique2,Ranged
4069,ShadowCrossbow,Ranged
4076,ShadowCrossbow_Unique1,Ranged
4083,SlowBow,Ranged
4090,SlowBow_Unique1,Ranged
4097,SlowBow_Spooky2,Ranged
4104,WindBow,Ranged
4111,WindBow_Unique1,Ranged
4118,WindBow_Unique2,Ranged
4125,BubbleBow,Ranged
4132,BubbleBow_Unique1,Ranged
4139,BubbleBow_Spooky2,Ranged
4146,HarpoonCrossbow,Ranged
4153,HarpoonCrossbow_Unique1,Ranged
4160,VoidBow,Ranged
4167,VoidBow_Unique1,Ranged
4174,CowardsArmor,Armor
4188,ReinforcedMail,Armor
4195,ReinforcedMail_Unique1,Armor
4202,BeenestArmor,Armor
4209,WolfArmor_Unique2,Armor
4216,WolfArmor_Unique1,Armor
4223,PiglinArmor,Armor
4230,PiglinArmor_Unique1,Armor
4237,BeenestArmor_Unique1,Armor
4244,ScaleMail,Armor
4251,ScaleMail_Unique1,Armor
4258,GhostArmor,Armor
4265,GhostArmor_Unique1,Armor
4272,GhostArmor_Spooky2,Armor
4279,Evocation Robe,Armor
4286,EvocationRobe_Unique1,Armor
4293,EvocationRobe_Unique2,Armor
4300,ArchersStrappings,Armor
4307,ArchersStrappings_Unique1,Armor
4314,AssassinArmor,Armor
4321,AssassinArmor_Unique1,Armor
4328,BattleRobe,Armor
4335,BattleRobe_Unique1,Armor
4342,DarkArmor,Armor
4349,DarkArmor_Unique1,Armor
4356,SquidArmor,Armor
4363,SproutArmor_Unique1,Armor
4370,SproutArmor,Armor
4377,SpelunkersArmor_Year1,Armor
4384,ChampionsArmor,Armor
4391,ChampionsArmor_Unique1,Armor
4398,Mercenary Armor,Armor
4405,MercenaryArmor_Unique1,Armor
4412,MercenaryArmor_Spooky1,Armor
4419,MercenaryArmor_Spooky2,Armor
4426,GrimArmour,Armor
4433,GrimArmor_Unique1,Armor
