type_id,name,enum_name,category_raw,category_name,rarity
1,Sharpness,Sharpness,1,Melee,Common
2,Knockback,Knockback,1,Melee,Common
3,Looting,Looting,3,Melee|Ranged,Common
4,Prospector,Prospector,11,Melee|Ranged|Armor,Common
5,Fire Aspect,FireAspect,3,Melee|Ranged,Common
6,Rampaging,Rampaging,1,Melee,Common
7,Exploding,Exploding,3,Melee|Ranged,Powerful
8,Critical Hit,CriticalHit,3,Melee|Ranged,Powerful
9,Freezing,Freezing,1,Melee,Common
10,Poison Cloud,PoisonedMelee,1,Melee,Common
11,Poison,JunglePoisonMelee,1,Melee,Common
12,Leeching,Leeching,1,Melee,Common
13,Aiding,Aiding,1,Melee,Powerful
14,Gravity,GravityMelee,1,Melee,Powerful
15,Enigma Resonator,EnigmaResonatorMelee,1,Melee,Common
16,Anima Conduit,AnimaConduitMelee,1,Melee,Common
17,Stunning,Stunning,1,Melee,Common
18,Cave Spider,CaveSpiderPoisonEnchantment,1,Melee,Common
19,Swirling,Swirling,1,Melee,Powerful
20,Smiting,Smiting,3,Melee|Ranged,Common
21,Committed,Committed,3,Melee|Ranged,Common
22,Soul Siphon,SoulSiphon,3,Melee|Ranged,Common
23,Radiance,RadianceMelee,1,Melee,Powerful
24,Chains,Chains,1,Melee,Common
25,Thundering,Thundering,1,Melee,Common
26,Echo,Echo,1,Melee,Common
27,Shockwave,Shockwave,1,Melee,Powerful
28,Weakening,Weakening,3,Melee|Ranged,Common
29,Busy Bee,BusyBee,1,Melee,Common
30,Dynamo,DynamoMelee,1,Melee,Common
31,Illager's Bane,BaneOfIllagers,1,Melee,Common
32,Rushdown,Rushdown,1,Melee,Common
33,Sponge Strike,SpongeStrike,1,Melee,Common
34,Heavyweight,Heavyweight,1,Melee,Common
35,Artifact Synergy,DamageSynergy,1,Melee,Common
36,Pain Cycle,PainCycle,1,Melee,Common
37,Guarding Strike,GuardingStrike,1,Melee,Common
38,Refreshment,PotionThirstMelee,1,Melee,Powerful
39,WitherEnchantmentMelee,WitherEnchantmentMelee,1,Melee,Common
40,Void Strike,VoidTouchedMelee,1,Melee,Powerful
41,Shared Pain,SharedPain,1,Melee,Common
42,Blind,BlindMelee,1,Melee,Common
43,Ambush,Backstabber,1,Melee,Common
44,Shadow Blast,ShadowFlash,8,Armor,Common
45,Damage Counter,DamageCounter,64,Permanent,Common
46,Shadow Surge,ShadowFeast,8,Armor,Common
47,Tempo Theft,TempoTheft,2,Ranged,Powerful
48,Alacrity Adjustment,AlacrityAdjustment,2,Ranged,Common
49,Bow's Boon,BowsBoon,2,Ranged,Common
50,Ricochet,Ricochet,2,Ranged,Common
51,Power,Power,2,Ranged,Common
52,Punch,Punch,2,Ranged,Common
53,Infinity,Infinity,2,Ranged,Common
54,Multishot,MultiShot,2,Ranged,Common
55,Piercing,Piercing,2,Ranged,Common
56,Projectile Counter,ProjectileCounter,64,Permanent,Common
57,Chain Reaction,ChainReaction,2,Ranged,Powerful
58,Gravity,Gravity,2,Ranged,Powerful
59,Hunting Bow Enchantment,HuntingBowEnchantment,2,Ranged,Common
60,Enigma Resonator,EnigmaResonatorRanged,2,Ranged,Common
61,Anima Conduit,AnimaConduitRanged,2,Ranged,Common
62,Poison Cloud,PoisonedRanged,2,Ranged,Common
63,Poison,JunglePoisonRanged,2,Ranged,Common
64,Freezing Ranged,FreezingRanged,2,Ranged,Common
65,Rapid Fire,RapidFire,2,Ranged,Common
66,Supercharge,Supercharge,2,Ranged,Common
67,Bonus Shot,BonusShot,2,Ranged,Common
68,Unchanting,Unchanting,3,Melee|Ranged,Common
69,Fuse Shot,FuseShot,2,Ranged,Common
70,Radiance Shot,RadianceRanged,2,Ranged,Common
